session_id,user_id,post_id,creator_id,referrer_platform,utm_source,utm_medium,utm_campaign,utm_content,landing_page,session_start_ts,device,country,city,ip_anonymized,pageviews,bounce,time_on_site_sec,clicked_signup,gclid
SFH5YOO17,UVFZJUX8C,PDU6HDPIT,C001,instagram reels,instagramreels,ugc,growth,PDU6HDPIT,/signup,2025-03-07 09:18:21,iOS,ES,Dublin,192.0.2.110,1,False,48,False,G4LG6T1WIAB
SQ6KSDICE,UVFZJUX8C,PDU6HDPIT,C001,instagram reels,instagramreels,ugc,growth,PDU6HDPIT,/features/tap-to-pay,2025-03-07 06:56:29,iOS,IE,Dublin,192.0.2.83,1,False,64,False,
SL0XOYMCO,UVFZJUX8C,PDU6HDPIT,C001,instagram reels,instagramreels,ugc,growth,PDU6HDPIT,/features/tap-to-pay,2025-03-07T12:19:56.148975+00:00Z,iOS,GB,Dublin,192.0.2.253,1,True,9,False,
SZ4FAHT4M,UMY5F9UIW,PDU6HDPIT,C001,instagram reels,instagramreels,ugc,growth,PDU6HDPIT,/features/tap-to-pay,06/03/2025 11:50,Android,GB,Dublin,192.0.2.117,2,False,81,True,
STJJUD39F,UO97WETH1,PDU6HDPIT,C001,instagram reels,instagramreels,ugc,growth,PDU6HDPIT,/signup,2025-03-06T18:00:29.636234+00:00Z,Android,United Kingdom,Glasgow,192.0.2.8,2,False,66,False,
SP4H66OH2,UO97WETH1,PDU6HDPIT,C001,instagram reels,instagramreels,ugc,growth,PDU6HDPIT,/features/tap-to-pay,2025-03-05T16:03:27.843627+00:00Z,iOS,GB,Leeds,192.0.2.233,2,False,20,False,GWIJJPIH1XK
S9HUF55J1,UKLR6FYVQ,PDU6HDPIT,C001,instagram reels,instagramreels,ugc,growth,PDU6HDPIT,/signup,2025-03-07T07:17:37.868677+00:00Z,iOS,United Kingdom,Madrid,192.0.2.113,2,False,99,True,
S9KAE9A6F,UDGYDM7Z5,PDU6HDPIT,C001,instagram reels,instagramreels,ugc,growth,PDU6HDPIT,/blog/creator-stories,2025-03-05T14:29:47.719813+00:00Z,iOS,GB,Manchester,192.0.2.148,1,False,43,False,
SA9L5EREP,UYF0SEMR7,PDU6HDPIT,C001,instagram reels,instagramreels,ugc,growth,PDU6HDPIT,/signup,2025-03-05T23:14:35.737335+00:00Z,iOS,GB,Birmingham,192.0.2.69,2,False,7,False,
SSOUNAYXT,UY95ZOLP9,PDU6HDPIT,C001,instagram reels,instagramreels,ugc,growth,PDU6HDPIT,/signup,1741245899680,iOS,GB,Birmingham,192.0.2.178,1,False,51,False,
SIHE426BY,UXTL8A04S,PDU6HDPIT,C001,instagram reels,instagramreels,ugc,growth,PDU6HDPIT,/signup,2025-03-07T12:39:52.577851+00:00Z,iOS,GB,Leeds,192.0.2.250,1,False,37,False,
SYLWTIWJ6,UZSRHF7TS,PDU6HDPIT,C001,instagram reels,instagramreels,ugc,growth,PDU6HDPIT,/signup,2025-03-07T03:57:27.400516+00:00Z,iOS,GB,Madrid,192.0.2.220,2,False,38,False,
SBN33EFJD,U2SQDO9ZQ,PDU6HDPIT,C001,instagram reels,instagramreels,ugc,growth,PDU6HDPIT,/signup,2025-03-07T03:14:03.063722+00:00Z,iOS,GB,Manchester,192.0.2.160,1,True,5,False,
SNAHUCGZJ,UI4DW4HP2,PDU6HDPIT,C001,instagram reels,instagramreels,ugc,growth,PDU6HDPIT,/signup,2025-03-06 06:45:15,iOS,GB,Birmingham,192.0.2.249,1,False,98,True,
S3MNU7G8Z,UXLC1NSR6,PDU6HDPIT,C001,instagram reels,instagramreels,ugc,growth,PDU6HDPIT,/features/tap-to-pay,05/03/2025 14:08,Android,GB,Leeds,192.0.2.46,1,False,57,False,
SRS3Y0OBY,U11EHC3DD,PDU6HDPIT,C001,instagram reels,instagramreels,ugc,growth,PDU6HDPIT,/features/tap-to-pay,2025-03-06T16:00:30.701507+00:00Z,Android,GB,London,192.0.2.141,1,False,70,True,
SV935FMSA,UJJLJ4USP,PDU6HDPIT,C001,instagram reels,instagramreels,ugc,growth,PDU6HDPIT,/,2025-03-06T03:31:55.820823+00:00Z,iOS,GB,London,192.0.2.54,1,False,41,False,
SQRVN2H7U,UYF0SEMR7,PDU6HDPIT,C001,instagram reels,instagramreels,ugc,growth,PDU6HDPIT,/,2025-03-05 16:09:48,iOS,GB,Manchester,192.0.2.182,5,False,27,False,GVO0HHG4EE5
S3RAZ0FHZ,U2TF1ZSQH,PDU6HDPIT,C001,instagram reels,instagramreels,ugc,growth,PDU6HDPIT,/,2025-03-05T15:19:53.703852+00:00Z,iOS,GB,Madrid,192.0.2.15,5,False,43,False,
SFQ152ZZL,UTH8XI9LF,PDU6HDPIT,C001,instagram reels,instagramreels,ugc,growth,PDU6HDPIT,/signup,2025-03-06 20:20:54,iOS,GB,Leeds,192.0.2.30,2,False,48,False,
SXHXSCRA2,U6HKKV1HQ,PDU6HDPIT,C001,instagram reels,instagramreels,ugc,growth,PDU6HDPIT,/features/tap-to-pay,2025-03-07 01:38:25,iOS,GB,London,192.0.2.89,1,False,31,False,
SKGMRLND3,U0Q0EFOBB,PDU6HDPIT,C001,instagram reels,instagramreels,ugc,growth,PDU6HDPIT,/signup,2025-03-06T08:44:28.005441+00:00Z,iOS,GB,Dublin,192.0.2.42,2,False,8,False,
SDAX4KJDI,UJTLIUBJ8,PDU6HDPIT,C001,instagram reels,instagramreels,ugc,growth,PDU6HDPIT,/signup,2025-03-06T15:34:14.445481+00:00Z,iOS,GB,London,192.0.2.4,4,False,7,False,
S2ZH0DG49,UWDUEXHI1,PDU6HDPIT,C001,instagram reels,instagramreels,ugc,growth,PDU6HDPIT,/signup,2025-03-07 04:14:08,iOS,GB,Madrid,192.0.2.178,2,False,94,True,
SD1VGL72B,UFSG21H7Y,PDU6HDPIT,C001,instagram reels,instagramreels,ugc,growth,PDU6HDPIT,/features/tap-to-pay,2025-03-05T16:07:38.249756+00:00Z,iOS,GB,Birmingham,192.0.2.233,3,False,73,True,
SC5BNOX8U,UR1RJYKBQ,PDU6HDPIT,C001,instagram reels,instagramreels,ugc,growth,PDU6HDPIT,/features/tap-to-pay,2025-03-06 21:33:40,Android,IE,Glasgow,192.0.2.77,1,False,67,True,
SXWC2214I,UU5U76BXO,PDU6HDPIT,C001,instagram reels,instagramreels,ugc,growth,PDU6HDPIT,/signup,1741313031166,iOS,GB,Madrid,192.0.2.87,1,False,19,False,GPKKV85ROKF
STCOQBM9G,UOTIHWN6O,PDU6HDPIT,C001,instagram reels,instagramreels,ugc,growth,PDU6HDPIT,/signup,2025-03-05 20:09:36,Android,IE,Leeds,192.0.2.79,2,False,75,True,GS9G3FSAG8Q
S3JMDT5SN,U6XCWP8NX,PDU6HDPIT,C001,instagram reels,instagramreels,ugc,growth,PDU6HDPIT,/signup,1741244249156,iOS,GB,London,192.0.2.15,3,False,23,False,
SENLSFVQ8,UA7JG7S9G,PDU6HDPIT,C001,instagram reels,instagramreels,ugc,growth,PDU6HDPIT,/signup,2025-03-07T12:03:34.989213+00:00Z,iOS,GB,Leeds,192.0.2.167,2,False,25,False,GXR9M6L4RBT
